date,ret,equity
2025-03-28,0.0,1.0
2025-03-31,0.0,1.0
2025-04-01,0.0,1.0
2025-04-02,0.0,1.0
2025-04-03,0.0,1.0
2025-04-04,0.0,1.0
2025-04-07,0.0,1.0
2025-04-08,0.0,1.0
2025-04-09,0.0,1.0
2025-04-10,0.0,1.0
2025-04-11,0.0,1.0
2025-04-14,0.0,1.0
2025-04-15,0.0,1.0
2025-04-16,0.0,1.0
2025-04-17,0.0,1.0
2025-04-18,0.0,1.0
2025-04-21,0.0,1.0
2025-04-22,0.0,1.0
2025-04-23,0.0,1.0
2025-04-24,0.0,1.0
2025-04-25,0.0,1.0
2025-04-28,0.0,1.0
2025-04-29,0.0,1.0
2025-04-30,0.0,1.0
2025-05-01,0.0,1.0
2025-05-02,0.0,1.0
2025-05-05,0.0,1.0
2025-05-06,0.0,1.0
2025-05-07,0.0,1.0
2025-05-08,0.0,1.0
2025-05-09,0.004456097484371794,1.0044560974843717
2025-05-12,0.0017642805957129675,1.0062282398864089
2025-05-13,-0.0022897969950989305,1.0039241814863333
2025-05-14,0.0040707090396603085,1.0080108647270434
2025-05-15,-0.009592760319380889,0.998341258102385
2025-05-16,-0.0003915936585509594,0.9979503139966424
2025-05-19,-0.010392261352972368,0.9875793535163084
2025-05-20,0.008359254157210274,0.9958347803327646
2025-05-21,-0.001088701078419907,0.9947506139334882
2025-05-22,-0.01106968317428462,0.9837390397998194
2025-05-23,0.011277244646537343,0.9948329056199917
2025-05-26,-0.0025892205671049404,0.9922570637999276
2025-05-27,0.004068798086611258,0.9962943574425432
2025-05-28,-0.0027232704057885138,0.993581178503466
2025-05-29,0.0013055681356263227,0.9948783664302783
2025-05-30,0.006421467619470119,1.0012669456456216
2025-06-02,-0.008315408346274497,0.9929410021289512
2025-06-03,0.007508562680634869,1.0003965618816089
2025-06-04,-0.009252936034148748,0.9911399564857359
2025-06-05,-0.0020223145072840176,0.9891355597729861
2025-06-06,0.00925113550996807,0.998286186874174
2025-06-09,0.0010747717285471599,0.9993591166448255
2025-06-10,-0.0006672369385673135,0.9986923073273061
2025-06-11,0.0008425228113783101,0.9995337283777772
2025-06-12,-0.002473011888185374,0.9970618695848567
2025-06-13,0.0033350041923729625,1.0003870750999775
2025-06-16,0.0010323391470217953,1.0014198138397779
2025-06-17,0.010941087627000504,1.0123764357744134
2025-06-18,0.007038007537801427,1.0195015487604862
2025-06-19,0.00427751051354434,1.023862477353884
2025-06-20,-0.0006933036750553975,1.0231526297355833
2025-06-23,0.00011271792150678121,1.0232679573733914
2025-06-24,0.003094285275966132,1.0264342403472597
2025-06-25,0.004883378239581164,1.0314467069809325
2025-06-26,-0.010303432350335456,1.0208192656125783
2025-06-27,0.00843610255434448,1.0294310016267365
2025-06-30,-0.005557292704697144,1.0237101522314072
2025-07-01,0.006686213588765237,1.0305548969622138
2025-07-02,-0.001767290555253218,1.0287336070261426
2025-07-03,0.008209383038474294,1.0371788752507713
2025-07-04,0.0029830309740398464,1.040272811961264
2025-07-07,0.00050691930325412,1.0408001463302976
2025-07-08,-0.003418783758668146,1.0372418756940043
2025-07-09,-0.003413274183022489,1.033701484778148
2025-07-10,0.0009694068951348981,1.0347035621250031
2025-07-11,0.0077114129990900615,1.0426825886241786
2025-07-14,-0.0013474634887934618,1.0412776119056069
2025-07-15,0.005788502016208619,1.0473050494615552
2025-07-16,-0.0075946434097327415,1.0393511410696823
2025-07-17,0.0038295651843249234,1.043331404013811
2025-07-18,0.0018525403578541029,1.0452642175463633
2025-07-21,0.002657549085049782,1.048042058511339
2025-07-22,-0.00014657966684594737,1.0478884368555619
2025-07-23,-0.002473369392209305,1.0452966216693933
2025-07-24,0.004144595240301502,1.0496289530722673
2025-07-25,-0.011858181906385093,1.037182262012528
2025-07-28,0.004203940454793821,1.041542514482797
2025-07-29,0.002025271308611983,1.0436519206540786
2025-07-30,-0.006316141138722827,1.0370600678235284
2025-07-31,0.006979512238146153,1.0442982412585955
2025-08-01,-0.009292982489942389,1.0345935959883017
2025-08-04,0.0015586406049060513,1.0362061555765847
2025-08-05,-0.003600842515059451,1.0324749403972182
2025-08-06,0.00045660031130791606,1.0329463687764213
2025-08-07,-0.000743853877218157,1.0321780076150484
2025-08-08,0.00292661674284155,1.0351987970537273
2025-08-11,0.0002505328499616451,1.03545814835863
2025-08-12,0.0011296951137544735,1.036627900369328
2025-08-13,-0.005114841935591474,1.0313257125129147
2025-08-14,-0.001019093688426694,1.0302746949885806
2025-08-15,0.001948231965534351,1.0322819090826385
2025-08-18,-0.004051502003697009,1.0280996168596102
2025-08-19,-0.0014440517862780629,1.0266149877714124
2025-08-20,-0.004121041132141299,1.0223842651799337
2025-08-21,-0.006437625502492457,1.0158025381610643
2025-08-22,-0.0019594336079803987,1.0138121405287197
2025-08-25,-0.0031209828361741057,1.0106480502390247
2025-08-26,0.006197664780987933,1.016911708065965
2025-08-27,-0.011162985729802455,1.0055599371803556
2025-08-28,0.00955204373555757,1.015165089679027
2025-08-29,0.011941255822712585,1.027287435717171
2025-09-01,0.0047214900190266085,1.0321377630915811
2025-09-02,-0.008627714504730849,1.0232327731420754
2025-09-03,-0.00398191084588384,1.0191583514648372
2025-09-04,-0.0023445289558978546,1.0167689051991828
2025-09-05,-0.0001211772495707623,1.0166456959398018
2025-09-08,-0.000648009077286682,1.0159869003004485
2025-09-09,-0.003012020015253525,1.0129267274215081
2025-09-10,0.004545782660044277,1.0175312721749163
2025-09-11,0.006967923954488207,1.0246213527007448
