date,open,high,low,close,volume
2018-10-19,165.26913927885607,166.0267504057259,164.51152815198625,165.26913927885607,21380
2018-10-22,165.26913927885607,166.85939783901412,164.4361197396182,166.02637829977624,26180
2018-10-23,166.02637829977624,166.71650000631175,165.00863213785058,165.6987538443861,17309
2018-10-24,165.6987538443861,166.58454547635273,162.94057798539546,163.8263696173621,21552
2018-10-25,163.8263696173621,164.22346623411048,162.9221292232634,163.31922584001177,7855
2018-10-26,163.31922584001177,165.24331269413423,160.77580386706572,162.69989072118818,29952
2018-10-29,162.69989072118818,165.20091431546413,162.2827684012924,164.78379199556835,31187
2018-10-30,164.78379199556835,168.3265729928269,158.97060297694804,162.5133839742066,5855
2018-10-31,162.5133839742066,164.8123960025763,160.36247717320046,162.66148920157016,12897
2018-11-01,162.66148920157016,163.43762090693215,160.7909614447707,161.56709315013268,38727
2018-11-02,161.56709315013268,165.740638374249,158.70399308803516,162.87753831215147,30087
2018-11-05,162.87753831215147,164.21509659190065,161.59567025321203,162.9332285329612,15304
2018-11-06,162.9332285329612,164.73542678812464,160.18402623546186,161.9862244906253,22406
2018-11-07,161.9862244906253,163.0808724972929,157.59668930964168,158.69133731630927,37256
2018-11-08,158.69133731630927,160.11081703169373,156.83256248378044,158.2520421991649,24824
2018-11-09,158.2520421991649,159.34626814135805,156.33510390131502,157.42932984350819,15039
2018-11-12,157.42932984350819,157.66925187782553,155.66132447519598,155.90124650951333,19550
2018-11-13,155.90124650951333,158.9236354723187,153.39416965749857,156.41655862030393,30602
2018-11-14,156.41655862030393,157.64258815102662,152.58538499864235,153.81141452936504,6712
2018-11-15,153.81141452936504,154.41726603935086,153.17708497797346,153.7829364879593,17663
2018-11-16,153.7829364879593,156.55503637408125,150.3413068048039,153.11340669092587,49861
2018-11-19,153.11340669092587,154.21081539531406,149.4320425643823,150.5294512687705,26833
2018-11-20,150.5294512687705,152.18897424862178,147.60856896124517,149.26809194109646,12273
2018-11-21,149.26809194109646,151.7861667869309,148.76170126327258,151.27977610910702,9970
2018-11-22,151.27977610910702,155.43364789378978,148.94508311475514,153.0989548994379,16176
2018-11-23,153.0989548994379,155.65072303849698,148.5677449666648,151.11951310572388,27104
2018-11-26,151.11951310572388,153.11341852446,149.52173069019435,151.51563610893047,23913
2018-11-27,151.51563610893047,158.12202274918428,149.25056410642418,155.856950746678,18828
2018-11-28,155.856950746678,156.9063237056787,153.80200942061435,154.85138237961505,41345
2018-11-29,154.85138237961505,156.88722219724613,153.81015784827716,155.84599766590824,38401
2018-11-30,155.84599766590824,158.6112996903943,153.28213247253387,156.04743449701994,37305
2018-12-03,156.04743449701994,157.6028400741708,154.12432829361947,155.67973387077035,44913
2018-12-04,155.67973387077035,156.06347509972676,152.95808011838017,153.34182134733658,17274
2018-12-05,153.34182134733658,153.4892705334988,151.07437766949627,151.2218268556585,49337
2018-12-06,151.2218268556585,152.3953650249325,149.2446229413676,150.4181611106416,41632
2018-12-07,150.4181611106416,155.6933223777451,148.99103942398,154.2662006910835,22276
2018-12-10,154.2662006910835,156.0581695055775,153.5185278535455,155.3104966680395,28743
2018-12-11,155.3104966680395,158.0236905201353,154.30106422751737,157.01425807961317,48605
2018-12-12,157.01425807961317,158.53548250431095,156.5090033614747,158.03022778617247,34988
2018-12-13,158.03022778617247,161.98510742911648,156.2901469790635,160.24502662200752,32602
2018-12-14,160.24502662200752,162.67106750333704,159.0133688326928,161.43940971402233,39538
2018-12-17,161.43940971402233,162.47152423007915,160.84258129496243,161.87469581101925,7884
2018-12-18,161.87469581101925,163.19073490897733,161.81400966629704,163.13004876425512,45289
2018-12-19,163.13004876425512,164.7427794037119,162.81393552981498,164.42666616927175,22716
2018-12-20,164.42666616927175,164.7528424790428,164.3277607761768,164.65393708594786,38632
2018-12-21,164.65393708594786,169.87391842593888,161.8061882773174,167.02616961730843,42502
2018-12-24,167.02616961730843,168.97383090483189,166.99871628382476,168.94637757134822,36933
2018-12-25,168.94637757134822,171.23443051324196,166.05979739566803,168.34785033756177,13940
2018-12-26,168.34785033756177,170.48652113935782,167.9982984556715,170.13696925746754,27170
2018-12-27,170.13696925746754,170.36302281240947,169.90288473424354,170.12893828918547,19040
2018-12-28,170.12893828918547,172.1104193213534,169.24515618938796,171.22663722155588,36673
